Key,Path,OriginalWeapon,DisableUnlockByPick,ShowNum,Price,DropAdd,SupportItems,DecidedByWeaponConfig,Materials,FusionList,FusionRangeList,TalentList
string,string,string,bool,bool,int,string,string,bool,List<ChooseItemWithNumData>,List<FusionConfig>,List<FusionRangeConfig>,List<TalentConfig>
ring_0,RGPrefab/Weapon/ring_0.prefab,,False,True,0,,"[]",False,"[{""item"":""material_iron"",""num"":4}]","[]","[]","[{""talentName"":""MasterLaser"",""bindingScript"":""WModMasterLaser"",""keyValueList"":[{""key"":""buffAtk"",""type"":""System.Int32"",""value"":""1""},{""key"":""buffScale"",""type"":""System.Single"",""value"":""2""}],""customData"":"""",""autoBindScript"":true}]"
ring_1,RGPrefab/Weapon/ring_1.prefab,,False,True,0,,"[]",False,"[{""item"":""material_iron"",""num"":4}]","[]","[]","[]"
ring_2,RGPrefab/Weapon/ring_2.prefab,,False,True,0,,"[]",False,"[{""item"":""material_iron"",""num"":4}]","[]","[]","[]"
ring_3,RGPrefab/Weapon/ring_3.prefab,,False,True,0,,"[]",False,"[{""item"":""material_iron"",""num"":4}]","[]","[]","[]"
transform_weapon_beheaded,RGPrefab/Weapon/transform_weapon_beheaded.prefab,,False,True,1000,,"[]",False,"[]","[]","[]","[]"
transform_weapon_envoy,RGPrefab/Weapon/transform_weapon_envoy.prefab,,False,True,1000,,"[]",False,"[{""item"":""material_magic_cyan"",""num"":1},{""item"":""material_magic_red"",""num"":1},{""item"":""material_magic_blue"",""num"":1}]","[]","[]","[]"
transform_weapon_ninja,RGPrefab/Weapon/transform_weapon_ninja.prefab,,False,True,1000,,"[]",False,"[{""item"":""material_magic_red"",""num"":1},{""item"":""material_magic_blue"",""num"":1}]","[]","[]","[]"
transform_weapon_specialforces,RGPrefab/Weapon/transform_weapon_specialforces.prefab,,False,True,1000,,"[]",False,"[{""item"":""material_magic_red"",""num"":1},{""item"":""material_magic_blue"",""num"":1},{""item"":""material_magic_green"",""num"":1}]","[]","[]","[]"
transform_weapon_transcendent,RGPrefab/Weapon/transform_weapon_transcendent.prefab,,False,True,1000,,"[]",False,"[{""item"":""material_magic_black"",""num"":1},{""item"":""material_magic_purple"",""num"":1}]","[]","[]","[]"
weapon_000,RGPrefab/Weapon/weapon_000.prefab,,False,True,0,,"[{""equipment"":""wi21_time_machine""},{""equipment"":""wi22_upgrade_kit""}]",False,"[{""item"":""material_iron"",""num"":1},{""item"":""material_gear"",""num"":1},{""item"":""material_wood"",""num"":1}]","[{""sourceWeapons"":[{""weapon"":""weapon_000""},{""weapon"":""weapon_000""},{""weapon"":""weapon_000""},{""weapon"":""weapon_000""}],""targetWeapon"":{""weapon"":""weapon_240""}}]","[]","[{""talentName"":""MasterAccurate"",""bindingScript"":""WModDeviation"",""keyValueList"":[{""key"":""buffDeviation"",""type"":""System.Int32"",""value"":""-10""}],""customData"":"""",""autoBindScript"":true},{""talentName"":""MasterReflection"",""bindingScript"":""WModReflection"",""keyValueList"":[{""key"":""buffReflectCount"",""type"":""System.Int32"",""value"":""1""}],""customData"":"""",""autoBindScript"":false}]"
